,시도별,연도,고용률
292,인천광역시,2015,61.13333333333333
293,광주광역시,2015,58.5
294,대전광역시,2015,59.63333333333333
295,울산광역시,2015,59.03333333333333
296,세종특별자치시,2015,
297,경기도,2015,61.67500000000001
298,강원특별자치도,2015,57.85833333333334
299,충청북도,2015,62.375
300,충청남도,2015,62.25
301,전북특별자치도,2015,59.15833333333334
302,전라남도,2015,62.81666666666666
303,경상북도,2015,62.35833333333333
304,경상남도,2015,60.57500000000001
305,제주도,2015,68.53333333333335
306,전국,2016,60.558333333333344
307,서울특별시,2016,59.96666666666667
308,부산광역시,2016,56.175000000000004
309,대구광역시,2016,59.31666666666667
310,인천광역시,2016,61.78333333333333
311,광주광역시,2016,58.050000000000004
312,대전광역시,2016,59.725
313,울산광역시,2016,58.974999999999994
314,세종특별자치시,2016,
315,경기도,2016,61.65
316,강원특별자치도,2016,58.19999999999999
317,충청북도,2016,61.975
318,충청남도,2016,61.69999999999999
319,전북특별자치도,2016,59.94166666666666
320,전라남도,2016,62.66666666666668
321,경상북도,2016,62.4
322,경상남도,2016,60.59166666666666
323,제주도,2016,69.24166666666666
324,전국,2017,60.84166666666666
325,서울특별시,2017,60.21666666666667
326,부산광역시,2017,56.31666666666666
327,대구광역시,2017,58.79166666666668
328,인천광역시,2017,61.66666666666668
329,광주광역시,2017,59.041666666666664
330,대전광역시,2017,58.91666666666666
331,울산광역시,2017,59.75
332,세종특별자치시,2017,61.208333333333336
333,경기도,2017,62.13333333333333
334,강원특별자치도,2017,61.0
335,충청북도,2017,62.574999999999996
336,충청남도,2017,62.28333333333333
337,전북특별자치도,2017,58.60833333333333
338,전라남도,2017,62.1
339,경상북도,2017,62.45833333333332
340,경상남도,2017,60.883333333333326
341,제주도,2017,70.90000000000002
342,전국,2018,60.71666666666667
343,서울특별시,2018,59.62499999999999
344,부산광역시,2018,55.70000000000001
345,대구광역시,2018,58.21666666666666
346,인천광역시,2018,62.89166666666667
347,광주광역시,2018,59.400000000000006
348,대전광역시,2018,58.69166666666666
349,울산광역시,2018,59.024999999999984
350,세종특별자치시,2018,61.775
351,경기도,2018,61.96666666666666
352,강원특별자치도,2018,60.68333333333334
353,충청북도,2018,63.28333333333334
354,충청남도,2018,63.541666666666664
355,전북특별자치도,2018,58.29999999999999
356,전라남도,2018,62.425000000000004
357,경상북도,2018,61.59166666666667
358,경상남도,2018,61.38333333333333
359,제주도,2018,68.43333333333332
360,전국,2019,60.958333333333336
361,서울특별시,2019,60.00833333333333
362,부산광역시,2019,56.599999999999994
363,대구광역시,2019,57.94166666666666
364,인천광역시,2019,62.508333333333326
365,광주광역시,2019,59.26666666666668
366,대전광역시,2019,59.791666666666664
367,울산광역시,2019,59.116666666666674
368,세종특별자치시,2019,62.53333333333333
369,경기도,2019,61.875
370,강원특별자치도,2019,62.25
371,충청북도,2019,62.875
372,충청남도,2019,63.650000000000006
373,전북특별자치도,2019,59.34166666666666
374,전라남도,2019,63.41666666666668
375,경상북도,2019,61.67499999999999
376,경상남도,2019,61.275
377,제주도,2019,68.39999999999999
378,전국,2020,60.074999999999996
379,서울특별시,2020,59.31666666666666
380,부산광역시,2020,55.60833333333334
381,대구광역시,2020,56.65
382,인천광역시,2020,61.30833333333333
383,광주광역시,2020,58.666666666666664
384,대전광역시,2020,60.650000000000006
385,울산광역시,2020,58.09166666666667
386,세종특별자치시,2020,62.66666666666666
387,경기도,2020,60.300000000000004
388,강원특별자치도,2020,60.775000000000006
389,충청북도,2020,63.18333333333334
390,충청남도,2020,62.40833333333334
391,전북특별자치도,2020,59.933333333333344
392,전라남도,2020,63.866666666666674
393,경상북도,2020,61.13333333333333
394,경상남도,2020,60.583333333333336
395,제주도,2020,67.14166666666668
396,전국,2021,60.48333333333333
397,서울특별시,2021,59.241666666666674
398,부산광역시,2021,56.19166666666667
399,대구광역시,2021,58.25
400,인천광역시,2021,61.32499999999999
401,광주광역시,2021,58.17499999999999
402,대전광역시,2021,60.900000000000006
403,울산광역시,2021,57.69166666666666
404,세종특별자치시,2021,62.63333333333333
405,경기도,2021,61.116666666666674
406,강원특별자치도,2021,61.44166666666666
407,충청북도,2021,63.34166666666667
408,충청남도,2021,63.03333333333333
409,전북특별자치도,2021,61.24166666666667
410,전라남도,2021,64.61666666666667
411,경상북도,2021,61.00833333333333
412,경상남도,2021,60.666666666666664
413,제주도,2021,67.40833333333333
